Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Output layer,Epochs,MSE error
10,Adam,32,,50,,,1,10,0.002009
10,RMSprop,32,,50,,,1,10,0.002068
10,Adam,64,,50,,,1,10,0.002621
10,Adam,32,0.1,50,,,1,10,0.086487
10,Adam,32,0.05,50,,,1,10,0.002109
10,Adam,32,0.01,50,,,1,10,0.002066
10,Adam,32,0.005,50,,,1,10,0.002194
10,Adam,32,0.001,50,,,1,10,0.002066
10,Adam,32,,100,,,1,10,0.002011
10,Adam,32,,50,0.1,,1,10,0.002259
10,Adam,32,,50,,50.0,1,10,0.002015
10,Adam,32,,50,,,1,20,0.002054
