Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Output layer,Epochs,MSE error
5,Adam,32,,50,,,1,10,0.002086
5,RMSprop,32,,50,,,1,10,0.002107
5,Adam,64,,50,,,1,10,0.002431
5,Adam,32,0.1,50,,,1,10,0.002102
5,Adam,32,0.05,50,,,1,10,0.002492
5,Adam,32,0.01,50,,,1,10,0.00208
5,Adam,32,0.005,50,,,1,10,0.002007
5,Adam,32,0.001,50,,,1,10,0.00208
5,Adam,32,0.005,100,,,1,10,0.002043
5,Adam,32,0.005,50,0.1,,1,10,0.001987
5,Adam,32,0.005,50,0.2,,1,10,0.00207
5,Adam,32,0.005,50,0.1,50.0,1,10,0.002063
5,Adam,32,0.005,50,0.1,,1,20,0.002057
