Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Output layer,Epochs,MSE error
20,Adam,32,,50,,,1,10,0.002021
20,RMSprop,32,,50,,,1,10,0.002089
20,Adam,64,,50,,,1,10,0.002319
20,Adam,32,0.1,50,,,1,10,0.002222
20,Adam,32,0.05,50,,,1,10,0.00466
20,Adam,32,0.01,50,,,1,10,0.002062
20,Adam,32,0.005,50,,,1,10,0.00228
20,Adam,32,0.001,50,,,1,10,0.002062
20,Adam,32,,100,,,1,10,0.001988
20,Adam,32,,100,0.1,,1,10,0.001997
20,Adam,32,,100,,50.0,1,10,0.002127
20,Adam,32,,100,,,1,20,0.002024
