Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Drop out.1,Third layer,Output layer,Epochs,MSE error
15,Adam,32,,50,,,,,1,10,0.001858
15,RMSprop,32,,50,,,,,1,10,0.001867
15,Adam,64,,50,,,,,1,10,0.002184
15,Adam,32,0.1,50,,,,,1,10,0.002401
15,Adam,32,0.05,50,,,,,1,10,0.003924
15,Adam,32,0.01,50,,,,,1,10,0.001864
15,Adam,32,0.005,50,,,,,1,10,0.001923
15,Adam,32,0.001,50,,,,,1,10,0.001864
15,Adam,32,,100,,,,,1,10,0.001799
15,Adam,32,,200,,,,,1,10,0.00182
15,Adam,32,,100,0.1,,,,1,10,0.001856
15,Adam,32,,100,,50.0,,,1,10,0.001822
15,Adam,32,,100,,100.0,,,1,10,0.00183
15,Adam,32,,100,,,,,1,30,0.001848
