Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Drop out.1,Third layer,Output layer,Epochs,MSE error
25,Adam,32,,50,,,,,1,10,0.001807
25,RMSprop,32,,50,,,,,1,10,0.001845
25,Adam,64,,50,,,,,1,10,0.001964
25,Adam,32,0.1,50,,,,,1,10,0.002321
25,Adam,32,0.05,50,,,,,1,10,0.001954
25,Adam,32,0.01,50,,,,,1,10,0.001886
25,Adam,32,0.005,50,,,,,1,10,0.00178
25,Adam,32,0.001,50,,,,,1,10,0.001886
25,Adam,32,0.005,100,,,,,1,10,0.001818
25,Adam,32,0.005,50,0.1,,,,1,10,0.001836
25,Adam,32,0.005,50,,50.0,,,1,10,0.001878
25,Adam,32,0.005,50,,100.0,,,1,10,0.001981
25,Adam,32,0.005,50,,,,,1,30,0.001858
