Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Drop out.1,Third layer,Output layer,Epochs,MSE error
10,Adam,32,,50,,,,,1,10,0.001866
10,RMSprop,32,,50,,,,,1,10,0.001882
10,Adam,64,,50,,,,,1,10,0.00249
10,Adam,32,0.1,50,,,,,1,10,0.010058
10,Adam,32,0.05,50,,,,,1,10,0.00183
10,Adam,32,0.01,50,,,,,1,10,0.002654
10,Adam,32,0.005,50,,,,,1,10,0.001841
10,Adam,32,0.001,50,,,,,1,10,0.002654
10,Adam,32,0.05,100,,,,,1,10,0.09865
10,Adam,32,0.05,50,0.1,,,,1,10,0.00246
10,Adam,32,0.05,50,,50.0,,,1,10,0.01817
10,Adam,32,0.05,50,,100.0,,,1,10,0.003258
10,Adam,32,0.05,50,,,,,1,30,0.001883
